n,classic(ms),cirilo(ms)
313700,113.395000,59.776000
313800,112.725000,59.775000
313900,112.572000,57.836000
314000,109.256000,57.814000
314100,109.020000,57.889000
314200,110.571000,61.594000
314300,112.876000,59.685000
314400,113.275000,59.267000
314500,110.214000,57.987000
314600,109.120000,57.890000
314700,110.432000,60.753000
314800,115.799000,60.007000
314900,113.467000,60.170000
315000,114.110000,60.938000
315100,113.132000,60.166000
315200,113.350000,60.101000
315300,115.729000,60.458000
315400,114.768000,60.282000
315500,113.389000,60.392000
315600,114.536000,60.264000
315700,114.270000,60.658000
315800,114.246000,62.923000
315900,116.536000,60.102000
316000,114.868000,60.523000
316100,114.833000,60.582000
316200,117.611000,62.371000
316300,117.954000,63.440000
316400,116.892000,60.174000
316500,114.466000,60.017000
316600,115.251000,60.352000
316700,113.736000,60.449000
316800,114.201000,60.774000
316900,117.104000,60.697000
317000,114.216000,60.314000
317100,114.183000,61.164000
317200,113.951000,59.766000
317300,110.221000,58.640000
317400,111.800000,60.425000
317500,114.322000,60.002000
317600,110.666000,58.325000
317700,110.866000,58.417000
317800,110.405000,60.411000
317900,114.109000,61.708000
318000,114.548000,60.076000
318100,110.772000,58.578000
318200,111.870000,58.765000
318300,110.622000,60.547000
318400,114.265000,60.331000
318500,112.640000,58.178000
318600,110.493000,58.551000
318700,114.328000,60.760000
318800,113.931000,58.722000
318900,110.537000,58.682000
319000,111.131000,60.955000
319100,114.390000,61.285000
319200,114.281000,60.830000
319300,115.938000,60.745000
319400,115.332000,60.714000
319500,112.604000,59.033000
319600,110.824000,60.696000
319700,114.614000,60.903000
319800,113.239000,59.134000
319900,110.877000,58.780000
320000,137.628000,68.721000
320100,128.640000,65.356000
320200,123.324000,63.180000
320300,119.382000,67.723000
320400,119.059000,63.193000
320500,119.413000,63.412000
320600,120.875000,62.850000
320700,120.015000,63.342000
320800,124.119000,73.085000
320900,123.161000,65.345000
321000,119.378000,63.187000
321100,119.240000,62.792000
321200,115.081000,61.077000
321300,117.247000,61.216000
321400,115.140000,61.226000
321500,115.313000,59.987000
321600,112.794000,58.833000
321700,111.493000,61.080000
321800,115.270000,60.873000
321900,111.500000,59.251000
322000,111.738000,59.212000
322100,118.746000,61.300000
322200,115.337000,61.148000
322300,114.427000,59.563000
322400,112.760000,60.725000
322500,115.550000,61.286000
322600,114.068000,59.729000
322700,113.862000,61.222000
322800,114.914000,59.463000
322900,112.438000,59.474000
323000,112.231000,61.613000
323100,116.086000,61.484000
323200,116.238000,61.408000
323300,114.271000,59.375000
323400,112.121000,60.387000
323500,124.922000,61.509000
323600,116.316000,61.112000
323700,117.717000,60.195000
323800,112.110000,59.415000
323900,112.245000,59.559000
324000,112.512000,60.561000
324100,116.098000,61.568000
324200,115.227000,59.666000
324300,115.901000,61.578000
324400,116.108000,61.664000
324500,116.691000,59.974000
324600,112.366000,60.531000
324700,113.267000,62.639000
324800,116.103000,61.868000
324900,116.657000,61.778000
325000,117.574000,60.860000
325100,112.543000,59.780000
325200,112.812000,62.257000
325300,116.997000,61.752000
325400,116.501000,61.775000
325500,113.325000,60.463000
325600,112.753000,60.050000
325700,113.712000,61.477000
325800,117.850000,61.890000
325900,115.864000,59.909000
326000,112.827000,59.982000
326100,112.831000,59.908000
326200,116.714000,61.857000
326300,116.870000,60.283000
326400,113.035000,61.750000
326500,116.697000,62.088000
326600,117.966000,68.177000
326700,117.661000,61.735000
326800,115.523000,61.620000
326900,117.253000,62.499000
327000,116.698000,60.057000
327100,113.808000,60.228000
327200,114.294000,62.014000
327300,116.949000,64.767000
327400,117.080000,62.148000
327500,113.454000,60.068000
327600,114.718000,60.202000
327700,115.844000,61.764000
327800,117.352000,62.336000
327900,117.897000,62.042000
328000,114.701000,60.179000
328100,113.591000,60.867000
328200,113.592000,60.177000
328300,117.508000,62.425000
328400,118.272000,62.201000
328500,113.855000,60.324000
328600,113.746000,60.285000
328700,116.009000,61.929000
328800,117.600000,62.976000
328900,119.149000,62.951000
329000,120.443000,62.373000
329100,118.640000,60.780000
329200,114.543000,60.458000
329300,114.039000,60.698000
329400,114.399000,63.071000
329500,117.967000,62.520000
329600,115.757000,60.562000
329700,114.641000,60.585000
329800,115.211000,62.257000
329900,118.228000,63.019000
330000,118.403000,62.015000
330100,114.567000,60.742000
330200,115.226000,60.800000
330300,114.464000,62.591000
330400,118.398000,62.259000
330500,122.671000,63.636000
330600,118.585000,63.130000
330700,123.072000,67.614000
330800,137.863000,76.244000
330900,136.009000,70.630000
331000,130.766000,68.686000
331100,132.974000,71.779000
331200,139.646000,77.917000
331300,146.006000,75.757000
331400,137.291000,70.198000
331500,132.740000,68.088000
331600,126.417000,65.730000
331700,123.180000,65.258000
331800,120.677000,63.084000
331900,119.949000,63.190000
332000,119.211000,63.091000
332100,119.423000,62.823000
332200,115.226000,61.213000
332300,115.428000,61.899000
332400,119.927000,63.260000
332500,119.212000,61.311000
332600,116.236000,61.162000
332700,115.400000,61.233000
332800,116.001000,61.179000
332900,119.881000,63.331000
333000,119.271000,63.259000
333100,117.820000,61.331000
333200,115.627000,61.460000
333300,116.378000,61.467000
333400,120.113000,63.418000
333500,119.458000,61.419000
333600,116.116000,62.162000
333700,115.806000,61.527000
333800,116.294000,63.538000
333900,120.799000,63.125000
334000,118.799000,61.466000
334100,116.117000,63.065000
334200,119.974000,63.756000
334300,120.490000,69.571000
334400,143.610000,84.230000
334500,160.906000,77.759000
334600,141.138000,73.050000
334700,133.620000,68.962000
334800,130.631000,67.974000
334900,125.681000,65.667000
335000,123.594000,64.452000
335100,120.458000,63.892000
335200,120.728000,63.757000
335300,120.619000,63.922000
335400,119.724000,62.031000
335500,118.134000,63.998000
335600,120.426000,65.723000
335700,131.253000,75.044000
335800,149.946000,83.446000
335900,148.416000,74.469000
336000,144.996000,83.117000
336100,155.357000,81.214000
336200,145.845000,75.022000
336300,137.269000,72.783000
336400,138.733000,71.337000
336500,136.648000,71.144000
336600,140.188000,78.518000
336700,142.108000,75.352000
336800,135.014000,70.504000
336900,138.843000,77.683000
337000,142.759000,75.814000
337100,158.071000,77.305000
337200,150.294000,85.402000
337300,144.210000,76.285000
337400,138.779000,73.813000
